"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL28";"APIGENIN";"None";"270.24";"0";"2.58";"5f";"O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12";"IC50";"'='";"67.6";"ug.mL-1";"";"Outside typical range";"";"UO_0000274";"";"";"";"";"0";"CHEMBL687258";"In vitro antibacterial activity was determined as inhibitory concentration causing 50% DNA-gyrase supercoiling inhibition (SCI)";"B";"BAO_0000223";"protein complex format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL2094139";"DNA gyrase";"Escherichia coli";"PROTEIN COMPLEX";"CHEMBL1127182";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1993";"None";"";"";"";"67.6"
"CHEMBL411723";"";"None";"401.34";"0";"2.88";"6";"O=C(O)c1cn(-c2ccc(F)cc2F)c2nc(C3=CCNCC3)c(F)cc2c1=O";"IC50";"'='";"5.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL658171";"Inhibition of the gyrase mediated cleavage of supercoiled DNA";"F";"BAO_0000019";"assay format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL2094139";"DNA gyrase";"Escherichia coli";"PROTEIN COMPLEX";"CHEMBL1126729";"1";"Scientific Literature";"J Med Chem";"1993";"None";"";"";"";"5.0"
"CHEMBL273348";"TOSUFLOXACIN";"2.0";"404.35";"0";"2.04";"F";"NC1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)C1";"IC50";"'='";"3.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL658171";"Inhibition of the gyrase mediated cleavage of supercoiled DNA";"F";"BAO_0000019";"assay format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL2094139";"DNA gyrase";"Escherichia coli";"PROTEIN COMPLEX";"CHEMBL1126729";"1";"Scientific Literature";"J Med Chem";"1993";"None";"";"";"";"3.0"
"CHEMBL442194";"";"None";"466.58";"1";"6.64";"1";"Cc1cc(=O)oc2cc(CCc3n[nH]c4cccc(OCc5ccc(C(C)(C)C)cc5)c34)ccc12";"IC50";"'='";"0.25";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL657334";"Inhibitory activity against Escherichia coli DNA gyrase";"B";"BAO_0000223";"protein complex format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL2094139";"DNA gyrase";"Escherichia coli";"PROTEIN COMPLEX";"CHEMBL1146758";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";"";"0.25"
"CHEMBL435838";"";"None";"375.38";"0";"2.21";"26";"O=C(O)c1cn(C2CC2)c2c(F)c(N3CCN4CCC3C4)c(F)cc2c1=O";"IC50";"'='";"2.9";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL657329";"Compound evaluated in vitro for the ability to inhibit gyrase.";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2094139";"DNA gyrase";"Escherichia coli";"PROTEIN COMPLEX";"CHEMBL1125245";"1";"Scientific Literature";"J Med Chem";"1991";"None";"";"";"";"2.9"
"CHEMBL345900";"";"None";"358.37";"0";"1.51";"14";"O=C(O)c1cn(C2CC2)c2nc(N3CC4CCC3CN4)c(F)cc2c1=O";"IC50";"'='";"6.3";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL657329";"Compound evaluated in vitro for the ability to inhibit gyrase.";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2094139";"DNA gyrase";"Escherichia coli";"PROTEIN COMPLEX";"CHEMBL1125245";"1";"Scientific Literature";"J Med Chem";"1991";"None";"";"";"";"6.3"
"CHEMBL544647";"";"None";"408.86";"0";"2.03";"37";"Cl.N[C@@H]1C[C@H]2CC[C@@H](C1)N2c1nc2c(cc1F)c(=O)c(C(=O)O)cn2C1CC1";"IC50";"'='";"17.5";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL657329";"Compound evaluated in vitro for the ability to inhibit gyrase.";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2094139";"DNA gyrase";"Escherichia coli";"PROTEIN COMPLEX";"CHEMBL1125245";"1";"Scientific Literature";"J Med Chem";"1991";"None";"";"";"";"17.5"
"CHEMBL540589";"";"None";"424.27";"0";"1.72";"12";"Br.O=C(O)c1cn(C2CC2)c2cc(N3C[C@@H]4CC3CN4)c(F)cc2c1=O";"IC50";"'='";"1.9";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL657329";"Compound evaluated in vitro for the ability to inhibit gyrase.";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2094139";"DNA gyrase";"Escherichia coli";"PROTEIN COMPLEX";"CHEMBL1125245";"1";"Scientific Literature";"J Med Chem";"1991";"None";"";"";"";"1.9"
"CHEMBL36506";"NOVOBIOCIN";"4.0";"612.63";"2";"3.63";"NB";"CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C";"IC50";"'='";"0.25";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"1";"CHEMBL657333";"Iinhibitory activity against Escherichia coli DNA gyrase";"F";"BAO_0000019";"assay format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL2094139";"DNA gyrase";"Escherichia coli";"PROTEIN COMPLEX";"CHEMBL1148360";"1";"Scientific Literature";"J Med Chem";"2004";"None";"";"";"";"0.25"
"CHEMBL4470688";"";"None";"369.43";"0";"1.41";"3";"CCNC(=O)Nc1cc(N2CCC(N)C2)c(C(=O)Nc2cccnc2)cn1";"IC50";"'='";"89.0";"nM";"7.05";"";"";"UO_0000065";"19.09";"0.36";"5.64";"5.63";"0";"CHEMBL4386907";"Inhibition of Escherichia coli DNA gyrase(A2B2 tetramer) preincubated for 5 mins followed by ATP addition and measured once per minute for 20 to 30 minutes by ATPase assay";"B";"BAO_0000223";"protein complex format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL2094139";"DNA gyrase";"Escherichia coli";"PROTEIN COMPLEX";"CHEMBL4385628";"1";"Scientific Literature";"Bioorg Med Chem";"2019";"None";"";"";"";"0.089"
